source_file,source_line,source_kind,product_id,url,classification,partner,audit_status,observed_status,last_checked
"src/pages/guides/sauna-gift-ideas.astro","71","amazon_asin","B07FKQB3LB","https://www.amazon.com/dp/B07FKQB3LB?tag=backyardsauna-20&ascsubtag=bsp_sauna-gift-ideas","affiliate","amazon","exact_product_unverified","",""
"src/pages/guides/sauna-gift-ideas.astro","77","amazon_asin","B0DWTCK8X9","https://www.amazon.com/dp/B0DWTCK8X9?tag=backyardsauna-20&ascsubtag=bsp_sauna-gift-ideas","affiliate","amazon","exact_product_unverified","",""
"src/pages/guides/sauna-gift-ideas.astro","87","amazon_asin","B0FB6SGKJL","https://www.amazon.com/dp/B0FB6SGKJL?tag=backyardsauna-20&ascsubtag=bsp_sauna-gift-ideas","affiliate","amazon","exact_product_unverified","",""
"src/pages/guides/sauna-gift-ideas.astro","103","amazon_asin","B0DKJVC1D3","https://www.amazon.com/dp/B0DKJVC1D3?tag=backyardsauna-20&ascsubtag=bsp_sauna-gift-ideas","affiliate","amazon","exact_product_unverified","",""
"src/pages/guides/sauna-heater-sizing-guide.astro","104","amazon_asin","B0B7TRM95Y","https://selectsaunas.com/products/harvia-kip60b-6-0kw-electric-sauna-heater-w-built-in-controls?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_not_found_alternate_available","2026-08-15"
"src/pages/guides/sauna-heater-sizing-guide.astro","116","amazon_asin","B000N4RSFO","https://www.amazon.com/dp/B000N4RSFO?tag=backyardsauna-20&ascsubtag=bsp_sauna-heater-sizing-guide","affiliate","amazon","exact_product_unverified","",""
"src/pages/guides/sauna-heater-sizing-guide.astro","128","amazon_asin","B07WQHQ4BF","https://www.amazon.com/dp/B07WQHQ4BF?tag=backyardsauna-20&ascsubtag=bsp_sauna-heater-sizing-guide","affiliate","amazon","exact_product_unverified","",""
"src/pages/guides/sauna-kits.astro","91","amazon_asin","B017WJV8SO","https://selectsaunas.com/products/almost-heaven-pinnacle-morgan-4-person-classic-barrel-sauna-6x6-ft?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_unavailable_alternate_available","2026-08-15"
"src/pages/guides/sauna-kits.astro","119","amazon_asin","B003Z11AXM","https://www.amazon.com/s?k=Almost+Heaven+6+person+barrel+sauna&tag=backyardsauna-20&ascsubtag=bsp_sauna-kits","affiliate","amazon","availability_search","unavailable","2026-08-15"
"src/pages/guides/sauna-kits.astro","131","amazon_asin","B00A2F99F0","https://www.amazon.com/dp/B00A2F99F0?tag=backyardsauna-20&ascsubtag=bsp_sauna-kits","affiliate","amazon","checked_available","available","2026-08-15"
"src/pages/guides/sauna-maintenance-guide.astro","107","amazon_asin","B07MJDFHKG","https://www.amazon.com/dp/B07MJDFHKG?tag=backyardsauna-20&ascsubtag=bsp_sauna-maintenance-guide","affiliate","amazon","exact_product_unverified","",""
"src/pages/guides/sauna-tent.astro","77","amazon_asin","B084GY5CHB","https://www.amazon.com/dp/B084GY5CHB?tag=backyardsauna-20&ascsubtag=bsp_sauna-tent","affiliate","amazon","checked_available","available","2026-08-15"
"src/pages/guides/sauna-tent.astro","86","amazon_asin","B01FY6PZYU","https://www.amazon.com/dp/B01FY6PZYU?tag=backyardsauna-20&ascsubtag=bsp_sauna-tent","affiliate","amazon","exact_product_unverified","",""
"src/pages/guides/sauna-vs-hot-tub.astro","141","amazon_asin","B017WJV8SO","https://selectsaunas.com/products/almost-heaven-pinnacle-morgan-4-person-classic-barrel-sauna-6x6-ft?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_unavailable_alternate_available","2026-08-15"
"src/pages/guides/wood-burning-sauna.astro","119","amazon_asin","B01FY6PZYU","https://www.amazon.com/dp/B01FY6PZYU?tag=backyardsauna-20&ascsubtag=bsp_wood-burning-sauna","affiliate","amazon","exact_product_unverified","",""
"src/pages/guides/wood-burning-sauna.astro","131","amazon_asin","B01FY9T0B6","https://www.amazon.com/dp/B01FY9T0B6?tag=backyardsauna-20&ascsubtag=bsp_wood-burning-sauna","affiliate","amazon","exact_product_unverified","",""
"src/pages/index.astro","19","amazon_asin","B017WJV8SO","https://selectsaunas.com/products/almost-heaven-pinnacle-morgan-4-person-classic-barrel-sauna-6x6-ft?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_unavailable_alternate_available","2026-08-15"
"src/pages/index.astro","29","amazon_asin","B00A2F99F0","https://www.amazon.com/dp/B00A2F99F0?tag=backyardsauna-20&ascsubtag=bsp_index","affiliate","amazon","checked_available","available","2026-08-15"
"src/pages/reviews/dynamic-saunas-barcelona-review.astro","28","amazon_asin","B00A2F99F0","https://www.amazon.com/dp/B00A2F99F0?tag=backyardsauna-20&ascsubtag=bsp_dynamic-saunas-barcelona-review","affiliate","amazon","checked_available","available","2026-08-15"
"src/pages/reviews/dynamic-saunas-barcelona-review.astro","111","amazon_asin","B00A2F99F0","https://www.amazon.com/dp/B00A2F99F0?tag=backyardsauna-20&ascsubtag=bsp_dynamic-saunas-barcelona-review","affiliate","amazon","checked_available","available","2026-08-15"
"src/pages/reviews/harvia-kip-60b-review.astro","33","amazon_asin","B0B7TRM95Y","https://selectsaunas.com/products/harvia-kip60b-6-0kw-electric-sauna-heater-w-built-in-controls?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_not_found_alternate_available","2026-08-15"
"src/pages/reviews/harvia-kip-60b-review.astro","113","amazon_asin","B0B7TRM95Y","https://selectsaunas.com/products/harvia-kip60b-6-0kw-electric-sauna-heater-w-built-in-controls?sca_ref=10752576.S2huPg7gFg","affiliate","select_saunas","verified_alternate","amazon_not_found_alternate_available","2026-08-15"
